Height (km),Energy Per Unit Length (kt Km^-1)
42.1922,1.07070
39.9311,1.09545
39.0415,1.10519
38.4485,1.23483
38.0784,1.85465
37.8198,2.71956
37.5237,3.09226
37.4129,3.58608
37.3025,4.32621
37.1547,4.82045
36.7470,4.82491
36.6733,5.31833
36.1914,5.32360
36.0072,6.43400
35.8598,7.29769
35.6759,8.77754
35.5289,10.0107
35.3448,11.2442
35.2353,12.9696
35.0888,14.8185
34.8314,16.9149
34.6478,18.6411
34.5382,20.2433
34.3910,21.3533
34.2063,21.9710
34.0591,23.0810
33.9126,24.8068
33.8766,25.9156
33.7666,27.1483
33.5829,28.7513
33.3983,29.4922
33.2878,30.2324
33.1778,31.4651
33.0683,33.1905
32.9585,34.5463
32.9230,36.1477
32.8512,38.4884
32.7791,40.5828
32.5955,42.3090
32.4866,44.6501
32.3404,46.7453
32.2684,48.8397
32.0846,50.4427
31.9755,52.5375
31.7921,54.5100
31.7204,56.9738
31.6489,59.5608
31.5764,61.2858
31.4678,63.8732
31.3212,65.5989
31.1007,67.4486
30.9179,70.0369
30.7341,71.6399
30.5875,73.2425
30.4041,75.2149
30.2575,76.9407
30.1107,78.4201
30.0007,79.6529
29.8534,80.6397
29.5578,81.5050
29.4457,80.6442
29.3710,80.0292
29.2582,78.4295
29.1458,77.1992
29.1440,75.4750
29.0313,73.8753
28.9552,71.9056
28.8418,69.6901
28.8401,67.9660
28.6898,65.9972
28.5775,64.8900
28.4645,63.0440
28.2773,61.1987
28.0521,58.3687
28.0508,57.0140
28.0118,55.0440
27.8997,54.1831
27.8985,52.9516
27.7494,52.0911
27.8217,50.2431
27.7461,48.7660
27.5958,46.7972
27.5945,45.4426
27.5556,43.5957
27.5536,41.6253
27.4777,39.7788
27.5118,36.8227
27.2884,35.8400
27.2498,34.2394
27.0998,32.5169
27.0983,31.0390
26.9485,29.4397
26.9470,27.9619
26.8713,26.3617
26.8330,25.1306
26.7576,23.8999
26.7561,22.2989
26.6801,20.4524
26.6051,19.5912
26.6035,17.9902
26.4907,16.3904
26.3409,14.7911
26.2656,13.6835
26.1899,12.0834
26.0775,10.8531
26.0758,9.12894
26.0005,8.02138
25.9252,6.79068
25.8503,6.05257
25.7380,4.94542
25.4777,4.08620
25.2917,3.47247
25.0314,2.61324
24.7720,2.61608
24.4388,3.11234
24.0684,3.36271
23.7725,3.98171
23.5875,4.35320
23.3290,5.34125
23.0695,5.34410
22.8465,4.73077
22.6235,4.11744
22.4375,3.38056
22.3258,2.88917
22.1397,2.15229
21.9538,1.53856
21.7679,1.04798
21.6192,0.556991
