date,DIS,FB,SBUX,WMT,WST
2014-01-29,66.4485,53.53,32.9004,64.7388,45.6945
2014-01-30,68.2092,61.08,33.0613,65.3067,46.4172
2014-01-31,67.6409,62.57,32.6981,65.2455,45.7234
2014-02-03,65.2002,61.48,31.7096,63.4807,44.6345
2014-02-04,66.1877,62.75,32.605,63.5419,44.2394
2014-02-05,66.8491,62.19,32.5311,63.6642,44.172
2014-02-06,70.3891,62.16,33.3941,63.6205,44.567
2014-02-07,70.4915,64.32,34.1671,64.433,45.3379
2014-02-10,71.7864,63.548,34.5202,64.4418,45.7619
2014-02-11,72.4664,64.851,34.3817,65.3504,46.1088
2014-02-12,72.5782,64.45,34.1094,65.4902,45.8775
2014-02-13,72.5689,67.33,34.4694,65.8396,46.7255
2014-02-14,73.8079,67.09,34.6263,66.2153,46.3593
2014-02-18,74.1339,67.3,34.1371,65.8134,46.9182
2014-02-19,73.4725,68.06,33.8372,65.3941,46.0028
2014-02-20,73.7706,69.63,33.9433,64.2321,46.6581
2014-02-21,74.6463,68.59,33.4864,63.8826,46.369
2014-02-24,75.2052,70.78,33.4864,64.0836,45.6174
2014-02-25,74.7208,69.85,32.5588,64.0836,44.7308
2014-02-26,74.5997,69.26,33.1264,65.3329,44.5189
2014-02-27,74.9724,68.94,33.3157,65.1407,44.1334
2014-02-28,75.2798,68.46,32.748,65.263,43.9214
2014-03-03,74.0222,67.41,32.5219,64.7563,43.4589
2014-03-04,76.1182,68.8,33.0711,65.6387,44.9236
2014-03-05,77.0218,71.57,32.9049,65.3504,44.9236
2014-03-06,77.6366,70.84,33.5464,65.4203,45.1067
2014-03-07,76.584,69.8,33.7218,65.5785,44.8272
2014-03-10,76.3604,72.03,33.9479,65.4466,44.6152
2014-03-11,75.5033,70.1,34.6263,65.8775,43.8925
2014-03-12,75.8108,70.8799,34.9032,66.4139,44.2394
2014-03-13,74.46,68.83,34.3494,65.8863,43.8347
2014-03-14,74.5904,67.72,34.2756,65.3147,43.1216
2014-03-17,75.8201,68.7399,34.234,65.6665,43.5552
2014-03-18,76.379,69.19,34.4279,65.7456,43.8636
2014-03-19,75.0096,68.24,35.0324,65.4027,43.5745
2014-03-20,75.2798,66.97,35.5147,66.282,43.4781
2014-03-21,74.8513,67.24,35.4016,66.9151,42.8518
2014-03-24,74.0501,64.1,34.9678,67.4954,41.9075
2014-03-25,74.106,64.89,34.4325,67.5921,42.1965
2014-03-26,73.2396,60.385,33.9387,67.0294,41.3004
2014-03-27,73.1092,60.97,33.8741,66.9502,40.9342
2014-03-28,73.5843,60.01,34.0125,66.8359,40.1633
2014-03-31,74.5904,60.24,33.8648,67.2052,42.4471
2014-04-01,75.9878,62.62,34.1556,67.5042,43.1987
2014-04-02,76.0809,62.72,33.9987,67.8647,43.5745
2014-04-03,76.0995,59.49,33.731,68.1109,43.3721
2014-04-04,74.9258,56.749,33.0203,67.979,42.8807
2014-04-07,73.7147,56.95,32.5034,67.979,42.3122
2014-04-08,74.1246,58.1901,32.988,68.744,42.5724
2014-04-09,74.963,62.41,33.4495,68.5594,43.8058
2014-04-10,72.2056,59.16,32.4065,67.6097,42.3122
2014-04-11,71.7398,58.53,31.7189,67.2668,41.2618
2014-04-14,72.3081,58.89,31.9865,68.0406,41.4835
2014-04-15,72.3453,59.09,31.7927,67.6009,41.4642
2014-04-16,73.5471,59.72,32.6696,67.8999,41.4642
2014-04-17,74.5159,58.94,32.3742,68.2868,42.1676
2014-04-21,73.6961,61.24,32.5265,68.234,42.0228
2014-04-22,74.0128,63.0301,32.8352,68.1989,42.071
2014-04-23,74.0781,61.36,32.485,68.6209,41.337
2014-04-24,74.1433,60.87,32.808,68.8583,41.0859
2014-04-25,72.8763,57.71,32.9742,69.1309,40.6127
2014-04-28,72.4571,56.14,32.7342,70.1333,41.4433
2014-04-29,73.2583,58.15,32.6003,70.0542,41.4626
2014-04-30,73.9104,59.78,32.5911,70.0894,41.8972
